Name,Total_Structures_Looked,Total_Output,Running_Time,Ave/Conf(s),Ave/Out(s)
c17a,81,0,0.046230059999999996,0.0005707414814814815,
c8s,27,25,0.007598716999999998,0.0002814339629629629,0.0003039486799999999
c5,1,1,0.00038400599999999924,0.00038400599999999924,0.00038400599999999924
c17,19683,4875,3.802653639,0.0001931948198445359,0.0007800315156923077
c15f,6561,2145,1.204476079,0.00018358117344916932,0.0005615273095571096
c20n,129140163,,,,
c15e,6561,2323,1.240993129,0.0001891469484834629,0.0005342200297029703
c18n,14348907,5425739,1981.986191334,0.0001381280254540642,0.00036529331605040345
c9,81,81,0.020294082999999997,0.0002505442345679012,0.0002505442345679012
c12p1,27,9,0.011057996,0.00040955540740740743,0.0012286662222222222
c19,531441,62036,35.617288921000004,6.702021281948514e-05,0.0005741390309014122
c9s,81,65,0.02039441,0.00025178283950617284,0.00031376015384615387
c15a,6561,2244,1.2226381199999998,0.0001863493552812071,0.0005448476470588234
c7c,27,25,0.006165212000000003,0.00022834118518518532,0.00024660848000000014
c18,59049,19740,11.604949855000001,0.00019653084480685535,0.0005878900635764945
c15,6561,2238,1.199540635,0.00018282893385154701,0.00053598777256479
c7n,81,71,0.015558266999999994,0.0001920773703703703,0.00021913052112676048
c8,3,3,0.001152895000000001,0.0003842983333333337,0.0003842983333333337
c15c,6561,2160,1.202642285,0.0001833016742874562,0.0005567788356481482
c12p,27,9,0.010384144999999997,0.00038459796296296287,0.0011537938888888887
c15helix,6561,2873,1.509535645,0.00023007706828227404,0.0005254213870518621
c21,531441,131183,78.442387187,0.0001476031905460813,0.0005979615284526196
c15b,6561,2210,1.1941206130000002,0.00018200283691510442,0.0005403260692307693
c8si,27,25,0.007331576999999999,0.0002715398888888888,0.00029326307999999994
c26,129140163,2826,3.856075028,2.985961097168508e-08,0.0013644993021939137
c17l,4782969,1963497,727.0606751849999,0.0001520103256335134,0.0003702886610903912
c5n,9,9,0.0016072179999999936,0.00017857977777777708,0.00017857977777777708
c15d,6561,2193,1.1993716339999998,0.00018280317543057457,0.0005469090898312812
c6,3,3,0.0007936030000000038,0.0002645343333333346,0.0002645343333333346
c10n,2187,1541,0.44815847799999997,0.00020491928577960676,0.00029082315249837764
c6n,27,25,0.0046062590000000014,0.00017060218518518525,0.00018425036000000006
c12p0,27,9,0.010997700999999999,0.0004073222592592592,0.0012219667777777776
c4,3,3,0.0006711829999999988,0.00022372766666666627,0.00022372766666666627
c9n,729,553,0.148265968,0.0002033826721536351,0.00026811205786618443
c8a,27,25,0.007247594999999996,0.0002684294444444443,0.00028990379999999983
c15g,6561,2283,1.199688273,0.00018285143621399178,0.0005254876360052562
c16,177147,56468,25.217397775000002,0.0001423529485399132,0.0004465785537826734
c7,3,3,0.001014923000000001,0.00033830766666666695,0.00033830766666666695
